ds,y
02/01/2018,19.66
03/01/2018,19.49
04/01/2018,19.37
05/01/2018,19.24
08/01/2018,19.27
09/01/2018,19.23
10/01/2018,19.31
11/01/2018,19.24
12/01/2018,19.34
15/01/2018,19.04
16/01/2018,18.81
17/01/2018,18.84
18/01/2018,18.66
19/01/2018,18.64
22/01/2018,18.58
23/01/2018,18.71
24/01/2018,18.8
25/01/2018,18.52
26/01/2018,18.48
29/01/2018,18.47
30/01/2018,18.62
31/01/2018,18.7
01/02/2018,18.61
02/02/2018,18.4
06/02/2018,18.52
07/02/2018,18.7
08/02/2018,18.65
09/02/2018,18.88
12/02/2018,18.86
13/02/2018,18.67
14/02/2018,18.63
15/02/2018,18.6
16/02/2018,18.52
19/02/2018,18.48
20/02/2018,18.54
21/02/2018,18.66
22/02/2018,18.65
23/02/2018,18.66
26/02/2018,18.57
27/02/2018,18.65
28/02/2018,18.79
01/03/2018,18.83
02/03/2018,18.86
05/03/2018,18.89
06/03/2018,18.88
07/03/2018,18.72
08/03/2018,18.79
09/03/2018,18.71
12/03/2018,18.58
13/03/2018,18.62
14/03/2018,18.56
15/03/2018,18.59
16/03/2018,18.7
20/03/2018,18.72
21/03/2018,18.76
22/03/2018,18.6
23/03/2018,18.51
26/03/2018,18.54
27/03/2018,18.33
28/03/2018,18.34
02/04/2018,18.27
03/04/2018,18.3
04/04/2018,18.2
05/04/2018,18.22
06/04/2018,18.11
09/04/2018,18.29
10/04/2018,18.28
11/04/2018,18.29
12/04/2018,18.2
13/04/2018,18.14
16/04/2018,18.09
17/04/2018,18.04
18/04/2018,17.98
19/04/2018,18.03
20/04/2018,18.28
23/04/2018,18.62
24/04/2018,18.86
25/04/2018,18.81
26/04/2018,19.05
27/04/2018,18.86
30/04/2018,18.68
02/05/2018,18.79
03/05/2018,19.09
04/05/2018,19.12
07/05/2018,19.2
08/05/2018,19.42
09/05/2018,19.58
10/05/2018,19.54
11/05/2018,19.3
14/05/2018,19.35
15/05/2018,19.52
16/05/2018,19.79
17/05/2018,19.71
18/05/2018,19.7
21/05/2018,19.93
22/05/2018,19.91
23/05/2018,19.75
24/05/2018,19.77
25/05/2018,19.7
28/05/2018,19.56
29/05/2018,19.59
30/05/2018,19.75
31/05/2018,19.73
01/06/2018,19.98
04/06/2018,19.87
05/06/2018,19.99
06/06/2018,20.39
07/06/2018,20.31
08/06/2018,20.46
11/06/2018,20.53
12/06/2018,20.47
13/06/2018,20.6
14/06/2018,20.63
15/06/2018,20.7
18/06/2018,20.72
19/06/2018,20.7
20/06/2018,20.55
21/06/2018,20.39
22/06/2018,20.37
25/06/2018,20.13
26/06/2018,20.09
27/06/2018,19.88
28/06/2018,20.06
29/06/2018,19.86
02/07/2018,19.69
03/07/2018,20.15
04/07/2018,19.6
05/07/2018,19.43
06/07/2018,19.25
09/07/2018,19.07
10/07/2018,19.16
11/07/2018,19.06
