,cve_institucion,cve_concepto,time,value
0,21,130000000000.0,2000-12-01,942784.338468
1,21,130000000000.0,2001-01-01,937529.11402
2,21,130000000000.0,2001-02-01,935114.61699
3,21,130000000000.0,2001-03-01,931447.671557
4,21,130000000000.0,2001-04-01,927942.058566
5,21,130000000000.0,2001-05-01,926010.388877
6,21,130000000000.0,2001-06-01,915460.962485
7,21,130000000000.0,2001-07-01,918844.11209
8,21,130000000000.0,2001-08-01,920975.786635
9,21,130000000000.0,2001-09-01,923936.391936
10,21,130000000000.0,2001-10-01,920121.32532
11,21,130000000000.0,2001-11-01,922147.0346
12,21,130000000000.0,2001-12-01,926105.146272
13,21,130000000000.0,2002-01-01,908457.488927
14,21,130000000000.0,2002-02-01,906257.104343
15,21,130000000000.0,2002-03-01,904699.24659
16,21,130000000000.0,2002-04-01,907761.943028
17,21,130000000000.0,2002-05-01,904387.840946
18,21,130000000000.0,2002-06-01,903447.840121
19,21,130000000000.0,2002-07-01,902792.198722
20,21,130000000000.0,2002-08-01,909530.475216
21,21,130000000000.0,2002-09-01,910034.768598
22,21,130000000000.0,2002-10-01,922297.689646
23,21,130000000000.0,2002-11-01,927105.335914
24,21,130000000000.0,2002-12-01,941719.169723
25,21,130000000000.0,2003-01-01,934225.251988
26,21,130000000000.0,2003-02-01,938247.151293
27,21,130000000000.0,2003-03-01,934836.990057
28,21,130000000000.0,2003-04-01,918350.257773
29,21,130000000000.0,2003-05-01,930183.343726
30,21,130000000000.0,2003-06-01,921439.768874
31,21,130000000000.0,2003-07-01,911386.572067
32,21,130000000000.0,2003-08-01,923622.872125
33,21,130000000000.0,2003-09-01,928562.765115
34,21,130000000000.0,2003-10-01,931800.367313
35,21,130000000000.0,2003-11-01,942539.258132
36,21,130000000000.0,2003-12-01,956285.489321
37,21,130000000000.0,2004-01-01,949456.81954
38,21,130000000000.0,2004-02-01,952286.80177
39,21,130000000000.0,2004-03-01,965945.28372
40,21,130000000000.0,2004-04-01,972873.473925
41,21,130000000000.0,2004-05-01,983019.32755
42,21,130000000000.0,2004-06-01,986455.932997
43,21,130000000000.0,2004-07-01,990915.838908
44,21,130000000000.0,2004-08-01,1002878.507503
45,21,130000000000.0,2004-09-01,1019851.904753
46,21,130000000000.0,2004-10-01,1052916.539432
47,21,130000000000.0,2004-11-01,1059528.097544
48,21,130000000000.0,2004-12-01,1049681.530541
49,21,130000000000.0,2005-01-01,1054663.462161
50,21,130000000000.0,2005-02-01,1063684.456586
51,21,130000000000.0,2005-03-01,1080300.723009
52,21,130000000000.0,2005-04-01,1103212.176155
53,21,130000000000.0,2005-05-01,1080376.912656
54,21,130000000000.0,2005-06-01,1118480.011265
55,21,130000000000.0,2005-07-01,1127478.808935
56,21,130000000000.0,2005-08-01,1116564.725234
57,21,130000000000.0,2005-09-01,1088183.790803
58,21,130000000000.0,2005-10-01,1103611.004422
59,21,130000000000.0,2005-11-01,1117138.413643
60,21,130000000000.0,2005-12-01,1132269.494352
61,21,130000000000.0,2006-01-01,1139979.304855
62,21,130000000000.0,2006-02-01,1155864.390619
63,21,130000000000.0,2006-03-01,1189902.278009
64,21,130000000000.0,2006-04-01,1216592.843908
65,21,130000000000.0,2006-05-01,1228219.007472
66,21,130000000000.0,2006-06-01,1233629.529935
67,21,130000000000.0,2006-07-01,1244757.217038
68,21,130000000000.0,2006-08-01,1245357.394152
69,21,130000000000.0,2006-09-01,1268722.15848
70,21,130000000000.0,2006-10-01,1287620.408329
71,21,130000000000.0,2006-11-01,1319413.624183
72,21,130000000000.0,2006-12-01,1355867.880529
73,21,130000000000.0,2007-01-01,1358380.249434
74,21,130000000000.0,2007-02-01,1383489.270411
75,21,130000000000.0,2007-03-01,1392999.843747
76,21,130000000000.0,2007-04-01,1416594.319219
77,21,130000000000.0,2007-05-01,1435288.03005
78,21,130000000000.0,2007-06-01,1473376.810444
79,21,130000000000.0,2007-07-01,1500876.322573
80,21,130000000000.0,2007-08-01,1545153.100697
81,21,130000000000.0,2007-09-01,1573267.543187
82,21,130000000000.0,2007-10-01,1613992.773451
83,21,130000000000.0,2007-11-01,1644119.603999
84,21,130000000000.0,2007-12-01,1654481.080278
85,21,130000000000.0,2008-01-01,1675721.51176
86,21,130000000000.0,2008-02-01,1692336.180917
87,21,130000000000.0,2008-03-01,1718203.777374
88,21,130000000000.0,2008-04-01,1732027.532343
89,21,130000000000.0,2008-05-01,1760789.947071
90,21,130000000000.0,2008-06-01,1763823.068968
91,21,130000000000.0,2008-07-01,1777795.757616
92,21,130000000000.0,2008-08-01,1801320.690481
93,21,130000000000.0,2008-09-01,1812776.232212
94,21,130000000000.0,2008-10-01,1849644.418033
95,21,130000000000.0,2008-11-01,1860759.793797
96,21,130000000000.0,2008-12-01,1831734.064405
97,21,130000000000.0,2009-01-01,1845417.014183
98,21,130000000000.0,2009-02-01,1846026.451336
99,21,130000000000.0,2009-03-01,1820071.81811
100,21,130000000000.0,2009-04-01,1802916.754175
101,21,130000000000.0,2009-05-01,1783243.238634
102,21,130000000000.0,2009-06-01,1784516.095166
103,21,130000000000.0,2009-07-01,1797256.169366
104,21,130000000000.0,2009-08-01,1786211.331424
105,21,130000000000.0,2009-09-01,1825486.206396
106,21,130000000000.0,2009-10-01,1840684.734552
107,21,130000000000.0,2009-11-01,1860538.034421
108,21,130000000000.0,2009-12-01,1906554.251988
109,21,130000000000.0,2010-01-01,1905480.086251
110,21,130000000000.0,2010-02-01,1905679.702192
111,21,130000000000.0,2010-03-01,1907498.205016
112,21,130000000000.0,2010-04-01,1903850.328753
113,21,130000000000.0,2010-05-01,1939132.328435
114,21,130000000000.0,2010-06-01,1951028.68717
115,21,130000000000.0,2010-07-01,1964936.007463
116,21,130000000000.0,2010-08-01,1985959.975161
117,21,130000000000.0,2010-09-01,2006537.969894
118,21,130000000000.0,2010-10-01,2029415.583365
119,21,130000000000.0,2010-11-01,2056906.095942
120,21,130000000000.0,2010-12-01,2074238.943288
121,21,130000000000.0,2011-01-01,2084373.680475
122,21,130000000000.0,2011-02-01,2126501.189277
123,21,130000000000.0,2011-03-01,2145543.029133
124,21,130000000000.0,2011-04-01,2186407.968746
125,21,130000000000.0,2011-05-01,2189454.056251
126,21,130000000000.0,2011-06-01,2183228.848992
127,21,130000000000.0,2011-07-01,2210782.021373
128,21,130000000000.0,2011-08-01,2237047.86859
129,21,130000000000.0,2011-09-01,2290387.809941
130,21,130000000000.0,2011-10-01,2287954.868325
131,21,130000000000.0,2011-11-01,2340816.29143
132,21,130000000000.0,2011-12-01,2402594.040442
133,21,130000000000.0,2012-01-01,2391060.136219
134,21,130000000000.0,2012-02-01,2393544.969449
135,21,130000000000.0,2012-03-01,2437622.24034
136,21,130000000000.0,2012-04-01,2447831.336214
137,21,130000000000.0,2012-05-01,2502858.175853
138,21,130000000000.0,2012-06-01,2524094.270445
139,21,130000000000.0,2012-07-01,2536077.356147
140,21,130000000000.0,2012-08-01,2556033.504545
141,21,130000000000.0,2012-09-01,2585131.229613
142,21,130000000000.0,2012-10-01,2598629.815839
143,21,130000000000.0,2012-11-01,2647077.183009
144,21,130000000000.0,2012-12-01,2688283.324467
145,21,130000000000.0,2013-01-01,2682331.021863
146,21,130000000000.0,2013-02-01,2696138.169513
147,21,130000000000.0,2013-03-01,2709324.003252
148,21,130000000000.0,2013-04-01,2719347.708239
149,21,130000000000.0,2013-05-01,2747611.669228
150,21,130000000000.0,2013-06-01,2774811.881543
151,21,130000000000.0,2013-07-01,2783275.062328
152,21,130000000000.0,2013-08-01,2830583.20198
153,21,130000000000.0,2013-09-01,2827717.13453
154,21,130000000000.0,2013-10-01,2865484.224585
155,21,130000000000.0,2013-11-01,2911582.5789
156,21,130000000000.0,2013-12-01,2936726.959343
157,21,130000000000.0,2014-01-01,2924513.516362
