ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2000-12-01,23202.595887779604,-6368.31137453393,55845.02115796179,13158.583183767807,34284.71957789727,-0.005321157729826839,-0.02111762456767354,0.010736180804003844,-0.005321157729826839,-0.02111762456767354,0.010736180804003844,0.0,0.0,0.0,23079.131215319296,36088.910952
2001-01-01,25247.081859022335,-9403.148909122905,57326.466281664005,15642.077820456678,35630.822422164805,-0.019713020936851813,-0.037878516267866785,-0.0021076063592510483,-0.019713020936851813,-0.037878516267866785,-0.0021076063592510483,0.0,0.0,0.0,24749.385605741016,36018.409619
2001-02-01,27291.56783026507,-4743.895607282914,58955.2454086943,18208.365570121794,37120.04281843848,0.02061268446870585,-0.0034776195529022795,0.04341717713281495,0.02061268446870585,-0.0034776195529022795,0.04341717713281495,0.0,0.0,0.0,27854.120306606605,36930.690312
2001-03-01,29138.200320419797,-2817.9833440133248,61459.3042845311,20530.9668105772,38364.041026379506,0.005275600119200878,-0.006741342068323167,0.017135609846876468,0.005275600119200878,-0.006741342068323167,0.017135609846876468,0.0,0.0,0.0,29291.921813503504,38079.651767
2001-04-01,31182.68629166253,-1062.4151563443347,63900.94215398021,22906.81704531581,39771.558134052786,0.00031710751786508356,-0.014425523448603896,0.014752249535544928,0.00031710751786508356,-0.014425523448603896,0.014752249535544928,0.0,0.0,0.0,31192.574555912845,40189.14538
2001-05-01,33161.22110254259,-57.559594278157725,65323.17924652196,25325.062246875594,41499.9387337804,-0.0033335943056226817,-0.016371391247089598,0.009713352564252379,-0.0033335943056226817,-0.016371391247089598,0.009713352564252379,0.0,0.0,0.0,33050.67504470766,40577.903393
2001-06-01,35205.70707378533,2281.6721055173593,67256.23509378954,27633.574127511714,43214.90681525455,-0.0025998044976428296,-0.016043848021679886,0.011186177041136239,-0.0025998044976428296,-0.016043848021679886,0.011186177041136239,0.0,0.0,0.0,35114.1791181922,41435.215635
2001-07-01,37184.24188466539,5444.680757578844,71320.67849588404,29582.698645332737,44726.82922486583,-0.001380966025467415,-0.014192790844059538,0.012028790706382611,-0.001380966025467415,-0.014192790844059538,0.012028790706382611,0.0,0.0,0.0,37132.891709939904,42746.696637
2001-08-01,39228.727855908124,8924.64559133529,73986.58412081329,31732.728693094923,46426.705903745096,0.003468093930916168,-0.009533975843432428,0.01714215387397722,0.003468093930916168,-0.009533975843432428,0.01714215387397722,0.0,0.0,0.0,39364.77676890276,44070.321254
2001-09-01,41353.70867126034,9092.934274492456,72528.95898523786,34124.02959439672,48122.34520669541,0.005262149728101757,-0.009068280788480505,0.018749718097925076,0.005262149728101757,-0.009068280788480505,0.018749718097925076,0.0,0.0,0.0,41571.31807810081,44627.498228
2001-10-01,43410.1417183754,10208.269859172315,75875.76122203085,36186.646188972576,49883.47611259705,0.0038732059481881883,-0.008375946477778708,0.016428924896875675,0.0038732059481881883,-0.008375946477778708,0.016428924896875675,0.0,0.0,0.0,43578.27813749071,46525.792068
2001-11-01,45535.12253372763,12266.022722080786,80666.58454352536,38605.892175851804,51737.120312454696,0.018473631799473922,0.0059965135207881454,0.03173780686433582,0.018473631799473922,0.0059965135207881454,0.03173780686433582,0.0,0.0,0.0,46376.32162135963,49208.08573
2001-12-01,47591.55558084268,14227.89427393836,79490.34160504365,40936.34856621542,53596.368250332736,0.0002694094376063661,-0.011557246276020918,0.012082045708472107,0.0002694094376063661,-0.011557246276020918,0.012082045708472107,0.0,0.0,0.0,47604.377195066525,51786.754035000005
2002-01-01,49716.5363961949,17897.134320172754,80896.76189469954,43224.68824549095,55662.16242098709,-0.01049384661305716,-0.023128824201355234,0.003444867993931355,-0.01049384661305716,-0.023128824201355234,0.003444867993931355,0.0,0.0,0.0,49194.81868912075,51840.994047
2002-02-01,51841.51721154712,19909.07769921208,80972.3574416858,45517.500435640206,57597.95726169493,0.012017661905838724,-0.005039024515754558,0.028942726450915588,0.012017661905838724,-0.005039024515754558,0.028942726450915588,0.0,0.0,0.0,52464.531038081215,52509.140576
2002-03-01,53760.85472218784,23209.98057536663,85745.96398963299,47437.219410166064,59393.6064325287,0.0020312952901576442,-0.013164340210051863,0.01674916543089323,0.0020312952901576442,-0.013164340210051863,0.01674916543089323,0.0,0.0,0.0,53870.05889317986,54126.206989
2002-04-01,56047.2955006812,21586.8305082157,89025.29226525682,49990.87241182188,61599.49933346568,0.001152257307113265,-0.012489243216233707,0.01540821719451977,0.001152257307113265,-0.012489243216233707,0.01540821719451977,0.0,0.0,0.0,56111.87640646579,55894.995538
2002-05-01,58259.980125029615,25631.168798145576,89894.04453330398,52418.50229466234,63748.26142670026,-0.0009358425018190105,-0.014731848299351528,0.013171673285273059,-0.0009358425018190105,-0.014731848299351528,0.013171673285273059,0.0,0.0,0.0,58205.45795947348,57830.366242
2002-06-01,60546.42090352297,27577.946570628952,93952.47390261204,54903.69607165473,66082.09239710531,0.00028140289779415915,-0.013382857909441666,0.012677534633708454,0.00028140289779415915,-0.013382857909441666,0.012677534633708454,0.0,0.0,0.0,60563.45884181629,60038.987252
2002-07-01,62759.10552787139,30085.061131555543,96584.86645097959,57308.830598848734,68146.64365831683,0.00010527644835910524,-0.014417020795850785,0.013223828602533568,0.00010527644835910524,-0.014417020795850785,0.013223828602533568,0.0,0.0,0.0,62765.71258360356,62584.7662
2002-08-01,65045.54630636475,34257.54362112716,98367.15796909606,59608.057671322276,70539.08840245906,0.0030359902493322035,-0.010585836572117972,0.01663094321444808,0.0030359902493322035,-0.010585836572117972,0.01663094321444808,0.0,0.0,0.0,65243.02395071336,64667.032023
2002-09-01,67331.9870848581,37345.03313716833,99067.20877292335,61991.742770960635,72862.45060722464,0.0005853374869991939,-0.012037598232863187,0.014334415899565533,0.0005853374869991939,-0.012037598232863187,0.014334415899565533,0.0,0.0,0.0,67371.39902097303,66311.493673
2002-10-01,69544.67170920652,37399.38318697637,99865.48059805178,63977.28802463184,75190.28675333958,0.001335621836798727,-0.012561624627926381,0.016240647173593546,0.001335621836798727,-0.012561624627926381,0.016240647173593546,0.0,0.0,0.0,69637.55709137434,67999.208189
