ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2000-12-01,1939286.2123402723,1642420.4952458814,2204747.5909882616,1847287.687818712,2028443.5788157342,-0.012121763788580419,-0.025702785454624823,0.0012009080470282586,-0.012121763788580419,-0.025702785454624823,0.0012009080470282586,0.0,0.0,0.0,1915778.6429558326,1887134.225621
2001-01-01,1950052.58379683,1626204.2703951409,2217810.534591711,1860740.6664625497,2034827.7320880368,-0.013749999613655136,-0.02927322358358439,0.0015413206486329784,-0.013749999613655136,-0.02927322358358439,0.0015413206486329784,0.0,0.0,0.0,1923239.3615230164,1909424.9438959998
2001-02-01,1960818.9552533873,1625022.1577829483,2179073.9155380665,1876567.452335629,2041635.972190922,-0.03126943800627262,-0.051480178351090256,-0.011487955234025841,-0.03126943800627262,-0.051480178351090256,-0.011487955234025841,0.0,0.0,0.0,1899505.2484905673,1934959.826991
2001-03-01,1970543.419794794,1678896.0663350136,2234127.578553917,1889943.8670430966,2045604.5102716526,0.0037235652999010444,-0.006809609788225487,0.013908777612354059,0.0037235652999010444,-0.006809609788225487,0.013908777612354059,0.0,0.0,0.0,1977880.86689469,1908384.860118
2001-04-01,1981309.7912513516,1722803.6256369548,2277482.2191496403,1903193.0773059893,2053465.8590051313,0.015154701811551869,0.003949772293453916,0.026622035301808167,0.015154701811551869,0.003949772293453916,0.026622035301808167,0.0,0.0,0.0,2011335.950334074,1931782.88952
2001-05-01,1991728.8604028588,1741888.1401619224,2280572.4976799753,1919186.4040386938,2059930.8376098322,0.010401082818548183,8.117506061197222e-06,0.021297180661408562,0.010401082818548183,8.117506061197222e-06,0.021297180661408562,0.0,0.0,0.0,2012444.9972320015,1965282.9130099998
2001-06-01,2002495.2318594167,1752531.6478065597,2300721.5771638895,1934152.4898350425,2067360.0711723396,0.005327645965012472,-0.005761636746055271,0.016481890541776126,0.005327645965012472,-0.005761636746055271,0.016481890541776126,0.0,0.0,0.0,2013163.8175013892,1978480.3460990002
2001-07-01,2012914.301010924,1738488.7008653553,2281891.523542333,1948596.9346687384,2076629.0025452548,-0.00828885940182673,-0.019689951223452237,0.002567381454443905,-0.00828885940182673,-0.019689951223452237,0.002567381454443905,0.0,0.0,0.0,1996229.537381918,2073206.563182
2001-08-01,2023680.6724674816,1753981.6950483592,2283209.434410732,1961256.6321278166,2084577.275204609,-0.00842366240454432,-0.020007553993534398,0.0033150384226456613,-0.00842366240454432,-0.020007553993534398,0.0033150384226456613,0.0,0.0,0.0,2006633.8696680143,2133619.8409869997
2001-09-01,2034131.5186656015,1742309.2102400127,2277115.337319012,1974843.0410672515,2092676.3307881092,-0.010871747240953444,-0.022384675227634793,0.0008397484255113892,-0.010871747240953444,-0.022384675227634793,0.0008397484255113892,0.0,0.0,0.0,2012016.9549398124,2101032.806351
2001-10-01,2044245.2407928144,1751777.3587718487,2290007.1182493316,1986655.289818443,2101229.6105189943,-0.00756828203184968,-0.01876501162230349,0.003224281430087836,-0.00756828203184968,-0.01876501162230349,0.003224281430087836,0.0,0.0,0.0,2028773.816268228,2158142.52506
2001-11-01,2054696.0869909346,1781516.4803712424,2344468.8710372425,1997517.9452580998,2109936.7605621563,-0.0007471512478934128,-0.011135036908866965,0.010299527912391093,-0.0007471512478934128,-0.011135036908866965,0.010299527912391093,0.0,0.0,0.0,2053160.9182454976,2157568.9668
2001-12-01,2064809.8091181475,1774684.817275349,2294188.0451772558,2009913.980796894,2117824.576997235,-0.01728059452479361,-0.027891955745842814,-0.0065617462980349425,-0.01728059452479361,-0.027891955745842814,-0.0065617462980349425,0.0,0.0,0.0,2029128.6680359603,2135158.901834
2002-01-01,2075260.6553162674,1775317.0244841694,2307718.2829132588,2021195.3382549072,2129507.175129738,-0.012831717611793803,-0.023910245635414197,-0.0018453526687251959,-0.012831717611793803,-0.023910245635414197,-0.0018453526687251959,0.0,0.0,0.0,2048631.4966163829,2170791.4794349996
2002-02-01,2085711.5015143873,1788109.7620228126,2304723.5845339014,2030715.5337016452,2139628.927272702,-0.020873377706605703,-0.03469854583499702,-0.0069259520817508595,-0.020873377706605703,-0.03469854583499702,-0.0069259520817508595,0.0,0.0,0.0,2042175.6575562658,2122861.250718
2002-03-01,2095150.975499786,1834105.9432309463,2356955.720190881,2041026.863453128,2148451.9669415625,0.00012741807652572667,-0.011917764511094,0.012956980146099509,0.00012741807652572667,-0.011917764511094,0.012956980146099509,0.0,0.0,0.0,2095417.9356071153,2140477.755182
2002-04-01,2105795.4353575683,1855071.3278782154,2403249.9207481444,2052774.9200093073,2157923.807461402,0.007378571948420409,-0.004169241504967903,0.018808726083597602,0.007378571948420409,-0.004169241504967903,0.018808726083597602,0.0,0.0,0.0,2121333.1984860096,2102055.5911169997
2002-05-01,2116096.5255425186,1893775.3246081558,2425426.223366001,2063906.800590621,2166666.4899519375,0.015222557808512376,0.003933934535315965,0.026537773559249113,0.015222557808512376,0.003933934535315965,0.026537773559249113,0.0,0.0,0.0,2148308.9272309816,2150957.9404720003
2002-06-01,2126740.985400301,1869378.7509456053,2407035.0652347463,2075382.1427776355,2176357.82985815,0.0033952438207082076,-0.007111524404662465,0.014592621383481703,0.0033952438207082076,-0.007111524404662465,0.014592621383481703,0.0,0.0,0.0,2133961.789589228,2239592.122699
