bank,abbr,netIncome,roa,roe,assets,portfolio,equity
Banamex,BNX,7.552733351,0.005568141,0.043420759,1356.419157,512.8485337,173.942915
BBVA,BBVA,36.16671143,0.014802081,0.149328028,2443.353143,1197.718306,242.1964038
Santander,STDR,20.34423507,0.011035733,0.128116462,1843.487507,645.638511,158.7948555
Banorte,BNTE,20.38363987,0.016156751,0.150941069,1261.617535,773.1885474,135.0436963
HSBC,HSBC,-0.70796448,-0.000907603,-0.010830805,780.037268,348.7639145,65.36582105
Scotiabank,SB,3.019601089,0.004731596,0.054582235,638.1781275,398.1428289,55.32204886
Inbursa,INB,7.014933646,0.018328516,0.070282998,382.7333025,193.8793615,99.80982367
Bajio,BAJ,3.43636971,0.012766681,0.098510541,269.1670391,186.7567003,34.88326912
Azteca,AZT,-5.676274661,-0.025102495,-0.236183168,226.12392,95.56005072,24.0333581
Banregio,BNRG,2.922036574,0.020236906,0.133631152,144.391467,106.7207852,21.86643254
Bancoppel,COPP,1.705894817,0.017018522,0.12159225,100.2375451,21.51740053,14.02963444
Multiva,MTVA,0.119301869,0.001363828,0.017738475,87.47577128,56.10865617,6.725599015
Sabadell,SDELL,0.011235656,0.000134011,0.000937627,83.84128483,57.85030243,11.98307743
Interacciones,INTER,0,0,0,0,0,0
